ID,rawmaterial,grain,Date,Time,Measurment,HLC
QTZ1-5,quartzite,coarse,09/06/2021,14:22:10,M9,894
QTZ1-2,quartzite,coarse,09/06/2021,14:12:22,M9,935
QTZ1-1,quartzite,coarse,09/06/2021,14:05:18,M9,855
OBS4-6,obsidian,fine,09/06/2021,13:59:22,M9,954
OBS4-5,obsidian,fine,09/06/2021,13:51:50,M9,956
OBS4-4,obsidian,fine,09/06/2021,13:48:41,M9,968
FLT10-6,flint,fine,09/06/2021,12:22:13,M9,961
FLT10-5,flint,fine,09/06/2021,12:18:19,M9,968
FLT10-2,flint,fine,09/06/2021,12:00:33,M9,968
DAC3-6,dacite,coarse,09/06/2021,15:03:51,M9,974
DAC3-4,dacite,coarse,09/06/2021,14:50:33,M9,968
DAC3-2,dacite,coarse,09/06/2021,14:40:31,M9,950
QTZ1-5,quartzite,coarse,09/06/2021,14:22:10,M10,917
QTZ1-2,quartzite,coarse,09/06/2021,14:12:22,M10,919
QTZ1-1,quartzite,coarse,09/06/2021,14:05:18,M10,890
OBS4-6,obsidian,fine,09/06/2021,13:59:22,M10,951
OBS4-5,obsidian,fine,09/06/2021,13:51:50,M10,953
OBS4-4,obsidian,fine,09/06/2021,13:48:41,M10,964
FLT10-6,flint,fine,09/06/2021,12:22:13,M10,949
FLT10-5,flint,fine,09/06/2021,12:18:19,M10,937
FLT10-2,flint,fine,09/06/2021,12:00:33,M10,969
DAC3-6,dacite,coarse,09/06/2021,15:03:51,M10,971
DAC3-4,dacite,coarse,09/06/2021,14:50:33,M10,966
DAC3-2,dacite,coarse,09/06/2021,14:40:31,M10,954
